file_id,rl_type,ai_detection,collaboration_rating,play_again
experiment_data_66854ca22a0b1e7e87b469a4_2025-08-25T19-50-50-609Z.xlsx,individual,Definitely an AI,Very good collaborator,Definitely play again
experiment_data_651ac208f45cf1745c586ffc_2025-08-27T16-01-09-988Z.xlsx,individual,Probably an AI,Poor collaborator,Probably play again
experiment_data_66cb2e0bd2169db778550269_2025-08-25T19-53-30-720Z.xlsx,individual,Not sure,Very good collaborator,Definitely play again
experiment_data_6777a384c84a19ccaee79888_2025-08-27T16-25-00-901Z.xlsx,joint,Probably a person,Very good collaborator,Definitely play again
experiment_data_661770012a3c83b4bdaff645_2025-08-27T15-52-49-165Z.xlsx,joint,Probably an AI,Very good collaborator,Definitely play again
experiment_data_5c1199258b095d00015cf0ec_2025-08-27T16-30-32-472Z.xlsx,individual,Probably an AI,Neutral,Not sure
experiment_data_558c2205fdf99b5d984bbb15_2025-08-27T16-32-57-193Z.xlsx,individual,Not sure,Poor collaborator,Not sure
experiment_data_60ddc62b071a009e0b0c2922_2025-08-27T16-35-39-743Z.xlsx,joint,Probably an AI,Very good collaborator,Not sure
experiment_data_611830fe665c7b68723910b3_2025-08-27T16-22-06-368Z.xlsx,joint,Probably an AI,Good collaborator,Probably play again
experiment_data_665adfcc9f26520c4307e228_2025-08-27T16-22-20-222Z.xlsx,individual,Definitely an AI,Good collaborator,Probably not play again
experiment_data_5dcc3ec7db13278d75c8622f_2025-08-27T15-49-15-565Z.xlsx,individual,Probably an AI,Poor collaborator,Definitely not play again
experiment_data_5422ae1afdf99b328c91b203_2025-08-27T15-57-16-335Z.xlsx,individual,Probably an AI,Very good collaborator,Definitely play again
experiment_data_678ff81c8c6b56f93355e0bb_2025-08-25T19-49-57-148Z.xlsx,joint,Probably an AI,Very good collaborator,Definitely play again
experiment_data_60d3a633b495ccd3987f1802_2025-08-27T16-22-40-419Z.xlsx,individual,Probably an AI,Poor collaborator,Probably not play again
experiment_data_5989b85ce684850001dfe29c_2025-08-27T15-57-40-869Z.xlsx,joint,Probably an AI,Good collaborator,Not sure
experiment_data_6713bf9052400ecdc5f6acdb_2025-08-25T19-50-39-068Z.xlsx,joint,Probably a person,Very good collaborator,Definitely play again
experiment_data_5f1088e27a43fe0c64ca5814_2025-08-25T19-48-38-468Z.xlsx,joint,Definitely a person,Very good collaborator,Definitely play again
experiment_data_5b16e1a5457ace0001b40d46_2025-08-25T20-07-03-195Z.xlsx,joint,Probably an AI,Very good collaborator,Definitely play again
experiment_data_5d7ff85ffec5620017b07c40_2025-08-27T16-31-35-348Z.xlsx,joint,Not sure,Very good collaborator,Not sure
experiment_data_665b1c70895ff62a86e1483e_2025-08-27T16-31-35-794Z.xlsx,individual,Probably an AI,Poor collaborator,Probably not play again
